label,rx,raw_data
fall,RX1_동,"CSI_DATA,495227,f4:28:53:72:03:56,-53,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,638882510,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,13,-2,12,-2,8,0,6,0,4,-3,3,0,-1,-2,0,0,-2,0,-4,0,-5,0,-6,0,-7,0,-10,2,-10,2,-8,0,-9,0,-8,2,-7,1,-6,1,-4,0,-4,0,-1,0,0,-1,0,0,1,-2,3,-1,4,-2,4,-3,5,-3,6,-3,6,-2,6,-2,6,-2,3,-1,2,0,2,0,1,0,0,0,-1,-1,-2,0,-1,0,-2,0,-3,0,-3,0,-3,0,-3,0,-2,0,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495228,f4:28:53:72:03:56,-54,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,638904335,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,4,0,7,0,9,0,11,0,13,0,13,0,14,0,14,0,12,0,11,0,10,0,8,0,6,-1,4,0,2,-1,0,0,0,0,-2,0,-4,0,-6,0,-8,0,-8,0,-9,0,-9,0,0,0,-9,0,-8,0,-8,0,-6,-1,-5,-1,-3,-1,-1,-2,0,-2,1,-2,3,-1,4,-1,5,-1,5,0,5,0,5,0,5,0,4,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495229,f4:28:53:72:03:56,-54,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,638911151,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-4,-3,-6,-5,-7,-6,-8,-7,-9,-8,-9,-8,-9,-8,-9,-7,-9,-7,-8,-7,-7,-5,-6,-4,-5,-2,-3,-2,-2,0,0,0,0,0,1,0,2,1,3,2,4,2,6,3,6,3,6,4,0,0,5,4,4,3,3,3,2,3,0,1,0,1,0,0,-2,0,-3,-1,-4,-2,-4,-3,-4,-3,-4,-4,-4,-4,-3,-4,-3,-4,-3,-3,-2,-3,-2,-2,-2,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495230,f4:28:53:72:03:56,-54,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,638921199,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-13,-5,-13,-5,-12,-4,-11,-4,-9,-3,-7,-2,-6,-2,-3,-1,-1,0,0,0,2,0,3,0,5,1,6,2,6,2,6,3,6,3,7,4,6,3,6,3,6,2,5,1,4,0,3,0,2,0,1,0,0,-3,0,-3,-1,-5,-3,-4,-4,-5,-4,-5,-5,-4,-5,-4,-5,-3,-5,-2,-4,-1,-4,-1,-3,0,-2,0,-1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495231,f4:28:53:72:03:56,-54,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,638931372,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,-10,6,-9,6,-11,4,-10,4,-5,4,-4,0,-5,2,-3,-1,-1,0,0,0,0,-2,1,-3,3,-4,3,-4,4,-4,7,-3,8,-4,5,-4,5,-2,6,-3,4,-2,4,-2,2,-2,1,-1,0,-1,0,0,0,-1,-4,0,-4,0,-5,0,-6,0,-6,0,-6,1,-7,0,-5,1,-6,0,-4,0,-3,0,-1,0,0,0,0,-1,0,-1,0,-1,1,-2,1,-1,2,-2,2,-1,2,-2,3,-1,2,-1,2,-1,2,-1,2,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495232,f4:28:53:72:03:56,-55,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,638951439,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,-1,11,0,11,-1,11,-1,7,0,5,0,3,-2,2,0,-1,-1,0,0,-2,0,-3,0,-3,0,-4,-1,-5,-1,-8,1,-8,1,-7,0,-7,0,-7,1,-5,0,-5,0,-3,0,-2,0,0,0,0,0,0,0,2,-2,3,-1,4,-1,5,-1,6,-1,5,-2,7,0,5,-1,6,0,3,0,3,0,2,0,1,0,0,0,-1,-1,-2,-1,-2,-1,-3,-2,-3,-1,-3,-2,-3,-1,-3,-1,-4,-1,-4,-1,-3,-1,-3,-1,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495233,f4:28:53:72:03:56,-55,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,638964038,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-1,-4,-1,-6,-1,-8,-1,-9,0,-10,0,-10,0,-11,0,-10,0,-9,0,-8,0,-7,0,-6,0,-5,0,-3,0,-2,0,0,0,0,0,1,0,2,0,3,0,5,0,6,0,6,0,6,0,0,0,6,0,6,0,5,0,4,0,2,0,1,0,0,0,-1,0,-3,0,-4,0,-5,-1,-6,-1,-6,-2,-6,-2,-6,-3,-5,-2,-4,-2,-4,-2,-3,-1,-2,-1,-2,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495234,f4:28:53:72:03:56,-57,11,1,5,1,0,1,0,1,0,0,-97,0,13,2,638974670,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,-7,-6,-7,-5,-6,-5,-6,-3,-5,-3,-3,-2,-2,-1,-1,-1,0,0,1,0,2,0,3,0,4,0,5,0,5,0,5,1,5,1,5,1,5,1,4,1,3,1,3,1,2,0,1,0,0,0,0,0,0,0,-2,0,-3,0,-4,0,-5,0,-5,0,-5,1,-6,1,-6,1,-5,1,-5,1,-4,0,-3,0,-2,0,-1,0,0,-1,0,-1,0,-2,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495235,f4:28:53:72:03:56,-55,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,638981504,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,1,-3,3,-4,4,-5,6,-5,6,-6,7,-6,7,-6,7,-6,6,-5,5,-5,4,-3,3,-3,3,-1,2,0,1,0,1,0,0,1,0,2,0,3,-1,3,-2,4,-2,5,-3,5,-3,6,-3,0,0,6,-2,5,-1,4,-1,3,0,2,0,1,0,0,0,-1,0,-2,-1,-3,-2,-4,-3,-4,-3,-4,-3,-4,-4,-4,-4,-3,-4,-3,-3,-3,-3,-3,-3,-2,-3,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495236,f4:28:53:72:03:56,-55,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,638993532,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-6,-8,-6,-10,-6,-8,-5,-4,-4,-3,-3,-4,0,-1,-1,-2,2,0,0,0,1,0,2,0,3,0,3,0,4,3,6,3,6,0,5,0,5,3,4,1,3,3,4,1,1,0,1,0,0,0,0,0,0,0,-2,0,-3,0,-5,0,-5,1,-6,0,-6,3,-7,2,-6,3,-6,2,-4,2,-3,2,-3,1,-2,0,-1,-1,-1,-1,0,-1,0,-3,-1,-3,0,-3,0,-3,0,-3,0,-4,0,-4,0,-4,0,-3,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495237,f4:28:53:72:03:56,-55,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,639004699,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-13,-2,-13,-3,-12,-3,-11,-1,-7,0,-6,-4,-4,0,-3,-4,0,0,0,0,0,-1,1,-1,2,-1,3,-2,4,0,8,0,8,-1,6,0,6,0,7,0,5,0,7,0,4,0,3,0,1,-1,0,0,0,0,-2,1,-4,1,-5,1,-5,2,-6,2,-7,4,-7,3,-6,4,-7,4,-4,4,-3,3,-2,2,-2,1,-1,0,0,-1,0,0,0,-2,0,-3,0,-3,0,-4,0,-3,0,-4,0,-4,0,-4,0,-4,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495238,f4:28:53:72:03:56,-55,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,639011459,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,4,4,5,5,6,5,7,6,7,6,7,6,7,5,7,4,7,4,6,3,5,3,3,3,2,3,1,2,0,2,0,1,-1,1,-3,0,-3,0,-5,0,-6,0,-7,0,-7,0,-8,0,0,2,-8,2,-8,3,-7,3,-6,2,-4,2,-3,0,-1,0,0,-2,0,-3,0,-4,0,-5,0,-6,0,-6,0,-6,-1,-6,-1,-6,-1,-5,-1,-4,-1,-3,-1,-3,-1,-3,-1,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495239,f4:28:53:72:03:56,-55,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,639021284,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-3,-2,-6,-3,-7,-3,-8,-3,-9,-3,-10,-3,-10,-3,-10,-4,-9,-4,-8,-3,-7,-3,-7,-3,-6,-2,-5,0,-3,0,-3,0,-2,1,-1,1,0,2,0,3,1,3,2,5,3,6,3,7,3,7,0,0,2,8,0,7,0,7,0,6,0,4,0,3,0,1,0,0,0,-1,2,-3,3,-3,3,-3,4,-3,4,-3,4,-3,4,-2,4,-2,3,-1,3,-1,3,-1,2,-1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495240,f4:28:53:72:03:56,-55,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,639031152,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,9,-6,8,-6,9,-5,7,-4,3,-3,2,-1,5,-1,0,2,3,0,0,1,0,2,0,3,0,3,0,4,0,7,-2,7,-3,6,0,5,-1,6,-3,4,-1,5,-3,3,-1,2,0,1,0,0,0,0,0,-1,0,-3,-3,-4,-3,-4,-3,-5,-4,-5,-4,-5,-6,-3,-5,-5,-6,-2,-5,-1,-5,0,-4,0,-3,0,-2,-1,0,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,2,-1,2,-1,3,-2,3,-2,3,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,495241,f4:28:53:72:03:56,-55,11,1,4,1,0,1,0,1,0,0,-97,0,13,2,639042288,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,7,-7,6,-7,6,-6,6,-4,1,-3,1,-2,3,-1,0,2,3,0,0,2,0,2,0,3,1,3,2,3,2,7,0,6,0,4,2,4,1,6,0,3,0,5,0,2,0,1,0,0,0,0,0,0,0,0,-2,0,-4,-1,-5,-1,-5,0,-6,-1,-6,0,-7,0,-6,0,-7,0,-5,0,-4,0,-3,0,-3,0,-2,-1,-1,-1,-1,-2,-1,-2,-1,-2,0,-3,0,-3,0,-3,0,-3,0,-3,0,-4,0,-4,0,0,0,0,0,0,0,0,0,0,0]"""
