label,rx,raw_data
fall,RX1_동,"CSI_DATA,431343,f4:28:53:72:03:56,-56,11,1,6,1,0,1,0,1,0,0,-97,0,13,2,1824980,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,-1,6,-1,4,-1,3,-1,3,0,3,0,2,1,3,2,3,3,3,3,4,3,4,4,5,3,5,3,5,3,4,3,4,3,3,2,3,3,1,3,1,3,0,4,0,5,0,6,0,6,0,7,0,0,0,7,1,7,1,6,1,5,1,4,0,3,0,2,0,1,-1,0,-3,0,-4,0,-5,0,-6,0,-7,1,-7,1,-7,2,-6,3,-6,3,-5,3,-4,3,-3,2,-2,1,-1,1,0,0,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,431344,f4:28:53:72:03:56,-56,11,1,7,1,0,1,0,1,0,0,-97,0,13,2,1831743,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,1,3,1,3,0,2,0,2,-1,2,-1,3,-2,3,-2,3,-2,4,-2,4,-2,4,-2,4,-2,4,-2,4,-2,4,-2,3,-2,2,-2,1,-3,1,-3,1,-4,1,-5,1,-6,1,-6,1,0,0,-6,2,-5,2,-5,2,-4,2,-3,2,-3,1,-2,0,-1,0,-1,-1,-1,-2,-1,-3,-1,-4,-1,-4,-2,-4,-2,-5,-3,-5,-3,-4,-3,-4,-3,-3,-3,-3,-3,-2,-2,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,431345,f4:28:53:72:03:56,-57,11,1,7,1,0,1,0,1,0,0,-97,0,13,2,1842246,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-3,2,-3,4,-4,3,-3,2,-2,2,-1,3,0,1,-1,4,2,1,0,1,0,1,0,2,1,2,1,2,2,5,0,5,0,3,1,3,1,2,2,1,1,3,4,0,2,0,3,0,3,0,4,0,0,1,5,3,4,3,4,2,4,1,3,1,2,0,1,0,1,-2,0,-2,0,-3,0,-4,0,-4,0,-5,1,-4,2,-4,2,-5,3,-5,3,-3,2,-3,3,-2,2,-1,1,-1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,431346,f4:28:53:72:03:56,-56,11,1,7,1,0,1,0,1,0,0,-97,0,13,2,1857641,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,1,4,1,4,1,3,1,2,2,2,2,2,3,2,3,2,3,2,4,2,4,2,4,3,4,2,4,2,3,2,3,1,3,1,3,0,3,0,3,0,4,-1,4,-1,5,-1,6,-1,6,0,0,0,6,0,6,0,5,0,4,0,3,0,2,0,1,-1,1,-2,0,-3,0,-3,0,-4,0,-5,0,-6,0,-6,1,-6,1,-5,2,-5,2,-4,2,-3,2,-2,2,-1,1,-1,1,0,0,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,431347,f4:28:53:72:03:56,-56,11,1,7,1,0,1,0,1,0,0,-97,0,13,2,1867092,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,-6,2,-6,2,-5,2,-4,2,-3,2,-3,2,-2,3,-2,3,-2,4,-2,4,-2,5,-2,5,-2,5,-2,4,-2,4,-2,4,-2,4,-1,3,-1,3,0,4,0,4,0,4,1,5,1,5,1,5,1,0,0,5,0,5,0,4,0,4,0,3,0,2,0,1,0,0,1,0,1,0,2,-1,3,-1,4,-1,4,0,5,0,5,0,5,1,5,1,4,1,4,2,3,1,2,1,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,431348,f4:28:53:72:03:56,-56,11,1,7,1,0,1,0,1,0,0,-97,0,13,2,1873235,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,5,0,6,0,6,0,6,0,6,0,5,0,5,0,5,0,4,0,4,1,3,1,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,1,2,1,2,0,0,0,2,-1,3,-1,3,-2,4,-2,5,-2,5,-2,5,-1,6,-1,5,0,5,0,5,0,4,0,3,0,2,0,1,0,0,-1,0,-1,-1,-2,-1,-3,-1,-3,-1,-4,-1,-5,-1,-5,-1,-4,0,-4,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,431349,f4:28:53:72:03:56,-56,11,1,7,1,0,1,0,1,0,0,-97,0,13,2,1881183,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-1,6,0,6,0,7,-1,7,0,7,-1,7,-1,6,-1,6,-1,6,0,5,0,4,0,4,1,4,1,4,2,4,2,4,3,4,3,4,3,4,3,4,3,4,2,4,2,3,2,2,2,2,2,0,0,0,3,0,3,-1,4,-1,4,-1,6,-1,6,-1,6,0,6,0,6,0,6,0,5,1,4,1,3,0,2,0,1,0,0,-1,0,-1,-1,-2,-1,-3,-1,-4,-1,-4,-1,-5,0,-5,0,-4,0,-4,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,431350,f4:28:53:72:03:56,-56,11,1,7,1,0,1,0,1,0,0,-97,0,13,2,1892341,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,4,3,5,4,5,4,5,4,5,4,4,4,4,4,4,3,3,2,3,2,3,1,3,1,4,0,4,0,4,0,5,0,5,0,5,0,5,0,5,0,4,0,4,0,3,-1,3,0,0,-2,2,-3,2,-3,2,-4,2,-4,3,-4,3,-4,3,-4,4,-4,4,-4,4,-3,3,-2,3,-2,2,-1,2,-1,1,-1,0,-1,-1,-1,-2,-1,-2,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,431351,f4:28:53:72:03:56,-57,11,1,7,1,0,1,0,1,0,0,-97,0,13,2,1902477,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,-6,0,-6,0,-5,0,-4,0,-4,0,-4,1,-3,1,-3,2,-3,2,-3,2,-3,3,-4,3,-4,3,-4,3,-4,3,-4,2,-4,3,-3,2,-3,3,-3,3,-3,3,-3,3,-2,3,-2,3,-3,0,0,3,-3,3,-2,3,-2,2,-2,2,-2,1,-1,1,0,1,0,2,0,2,1,2,1,2,2,3,2,3,2,4,2,4,1,4,1,4,0,3,0,3,0,2,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0]"""
fall,RX1_동,"CSI_DATA,431352,f4:28:53:72:03:56,-56,11,1,7,1,0,1,0,1,0,0,-97,0,13,2,1914904,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-7,1,-7,0,-6,0,-5,1,-5,1,-4,1,-4,2,-4,2,-4,2,-4,3,-5,3,-5,3,-5,2,-6,2,-5,2,-5,2,-5,2,-4,2,-4,2,-3,2,-3,3,-3,3,-3,4,-3,4,-3,4,-3,0,0,4,-4,3,-4,3,-4,2,-3,2,-3,2,-2,1,-2,1,-1,1,0,2,0,2,0,3,1,3,1,4,0,4,0,4,0,4,0,4,-1,3,-1,3,-1,2,-1,1,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"""
