label,rx,raw_data
stand,RX1_동,"CSI_DATA,36125,f4:28:53:72:03:56,-45,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,358931342,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,1,7,-1,9,-3,10,-5,12,-6,13,-7,13,-7,14,-7,13,-7,12,-7,11,-6,9,-5,6,-4,4,-4,1,-3,-2,-3,-4,-3,-7,-3,-9,-4,-11,-4,-13,-4,-14,-5,-14,-6,-13,-6,-13,-6,0,0,-10,-6,-8,-5,-6,-4,-4,-2,-2,0,0,2,1,4,2,7,2,9,2,11,2,12,1,13,0,13,-1,12,-2,11,-3,9,-3,7,-3,5,-2,3,-1,0,1,-1,2,-3,4,-4,5,-4,7,-3,7,-3,0,0,0,0,0,0,0,0,0,0]"""
stand,RX1_동,"CSI_DATA,36126,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,358944140,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,16,-11,16,-10,15,-8,14,-7,12,-5,10,-3,8,0,6,3,4,6,2,9,-1,11,-2,13,-3,15,-4,16,-4,17,-4,17,-4,17,-4,15,-4,13,-3,11,-4,8,-3,5,-3,1,-3,-2,-4,-5,-4,0,0,-11,-7,-13,-8,-14,-9,-15,-11,-15,-11,-14,-12,-12,-12,-11,-12,-9,-11,-7,-9,-4,-6,-3,-3,-1,0,0,3,0,6,0,9,-1,11,-3,12,-4,13,-5,13,-6,12,-7,11,-7,9,-7,7,-6,4,-4,2,0,0,0,0,0,0,0,0,0,0]"""
stand,RX1_동,"CSI_DATA,36127,f4:28:53:72:03:56,-45,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,358951374,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-4,-7,-1,-8,0,-9,2,-11,3,-12,4,-13,6,-14,6,-14,6,-14,6,-13,5,-12,4,-10,4,-7,3,-5,3,-2,3,1,3,3,3,6,3,8,3,9,3,11,4,12,5,12,6,12,6,11,6,0,0,9,5,6,4,5,3,3,1,1,-1,0,-3,-1,-5,-2,-8,-2,-10,-2,-12,-1,-13,-1,-13,1,-13,2,-13,2,-12,3,-10,3,-8,2,-5,1,-4,0,-1,-2,0,-3,1,-5,2,-6,2,-8,1,-9,1,0,0,0,0,0,0,0,0,0,0]"""
stand,RX1_동,"CSI_DATA,36128,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,358961103,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,17,1,15,1,13,2,11,2,7,4,4,4,1,6,-2,7,-6,8,-8,9,-10,10,-12,11,-13,12,-13,12,-13,11,-13,11,-12,9,-11,7,-10,5,-7,2,-6,0,-4,-4,-2,-7,-1,0,0,-12,1,-14,1,-16,1,-18,0,-18,0,-18,-2,-17,-2,-16,-3,-13,-3,-10,-3,-7,-2,-4,-1,-1,0,2,2,4,4,6,7,6,9,6,11,6,12,5,13,3,13,2,12,0,11,0,9,-2,7,-2,4,0,0,0,0,0,0,0,0,0,0]"""
stand,RX1_동,"CSI_DATA,36129,f4:28:53:72:03:56,-45,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,358971151,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,3,8,3,10,1,13,1,14,0,16,-1,17,-1,17,-1,17,0,15,0,14,0,11,0,9,-1,6,-2,3,-3,0,-4,-3,-5,-5,-6,-8,-8,-9,-9,-11,-10,-12,-12,-12,-13,-11,-13,-11,-13,0,0,-8,-11,-6,-9,-5,-7,-4,-4,-2,-1,-2,2,-1,5,-1,8,-2,11,-3,13,-5,13,-6,14,-7,13,-7,12,-8,11,-8,8,-7,6,-5,4,-4,2,-1,0,1,-1,3,-2,5,-2,7,-1,8,0,9,1,0,0,0,0,0,0,0,0,0,0]"""
stand,RX1_동,"CSI_DATA,36130,f4:28:53:72:03:56,-45,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,358983439,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-6,0,-7,2,-8,4,-10,6,-11,8,-12,9,-12,9,-12,9,-12,9,-11,8,-10,7,-8,6,-6,5,-4,4,-1,3,1,2,4,1,6,1,8,1,10,1,12,1,13,1,14,2,13,2,13,3,0,0,10,3,7,2,5,2,3,0,1,-1,-1,-3,-3,-5,-4,-7,-5,-10,-5,-11,-4,-12,-4,-13,-3,-13,-2,-13,-1,-12,0,-10,1,-8,1,-6,1,-4,0,-1,-2,0,-3,2,-4,3,-6,3,-7,3,-8,3,0,0,0,0,0,0,0,0,0,0]"""
stand,RX1_동,"CSI_DATA,36131,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,358991233,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,-8,16,-8,14,-8,12,-8,10,-7,8,-7,5,-6,2,-5,0,-4,-3,-4,-7,-3,-10,-3,-12,-3,-14,-3,-16,-3,-16,-3,-17,-3,-17,-3,-15,-3,-13,-2,-11,-1,-8,-1,-5,0,-2,0,0,2,2,4,0,0,6,7,7,8,9,10,9,12,9,13,8,13,6,12,5,12,3,10,2,8,1,5,0,1,0,0,0,-3,0,-6,0,-9,1,-10,3,-11,4,-12,5,-12,6,-10,6,-9,6,-7,5,-6,4,-3,3,-2,0,0,0,0,0,0,0,0,0,0]"""
stand,RX1_동,"CSI_DATA,36132,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,359001292,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,10,-15,10,-15,9,-14,7,-13,6,-11,4,-10,2,-8,-1,-6,-3,-4,-6,-3,-9,-1,-11,0,-13,1,-15,2,-16,2,-16,2,-17,2,-16,2,-15,2,-13,2,-11,2,-9,2,-5,2,-3,2,1,2,4,3,0,0,9,5,10,6,12,8,12,9,13,10,11,10,10,10,9,10,7,9,5,7,3,5,1,2,0,-1,-1,-4,-1,-7,0,-9,0,-11,1,-13,2,-13,3,-13,4,-12,5,-11,5,-9,5,-7,4,-5,3,-3,0,0,0,0,0,0,0,0,0,0]"""
stand,RX1_동,"CSI_DATA,36133,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,359012911,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,-8,16,-8,14,-7,13,-7,10,-7,8,-7,6,-6,2,-6,-1,-5,-4,-5,-7,-5,-10,-5,-12,-5,-14,-5,-15,-5,-16,-6,-16,-6,-16,-6,-15,-5,-13,-5,-11,-3,-9,-2,-6,-1,-3,1,-1,3,2,5,0,0,5,9,6,10,7,12,7,14,7,14,6,14,5,14,4,13,2,11,1,9,1,6,0,2,0,-1,1,-4,2,-6,3,-8,4,-10,6,-11,7,-11,8,-10,9,-9,8,-8,8,-6,7,-5,6,-3,4,-2,0,0,0,0,0,0,0,0,0,0]"""
stand,RX1_동,"CSI_DATA,36134,f4:28:53:72:03:56,-45,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,359021231,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,7,2,9,1,11,1,13,1,14,0,15,0,15,0,14,0,13,0,12,1,10,0,7,-1,5,-1,2,-2,0,-4,-2,-5,-4,-6,-6,-8,-8,-9,-9,-10,-9,-12,-9,-12,-8,-12,-8,-12,0,0,-6,-10,-5,-8,-3,-6,-3,-3,-2,-1,-2,1,-2,4,-2,7,-3,9,-5,11,-6,11,-7,11,-8,10,-8,9,-8,8,-8,6,-7,4,-5,3,-4,1,-1,0,1,0,3,-1,5,-1,6,0,7,1,7,2,0,0,0,0,0,0,0,0,0,0]"""
