label,rx,raw_data
static,RX1_동,"CSI_DATA,8143,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84013465,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,16,3,15,3,13,3,12,3,9,3,7,3,4,3,1,3,-2,3,-5,4,-7,4,-10,4,-11,4,-13,5,-14,5,-14,5,-14,4,-13,3,-12,3,-10,2,-8,1,-6,0,-4,-2,-1,-4,1,0,0,-7,5,-8,6,-10,7,-11,8,-12,7,-12,7,-12,6,-12,5,-11,3,-9,2,-6,1,-4,0,-1,0,1,-1,4,-1,6,0,7,0,8,2,9,3,9,3,8,4,7,5,6,5,4,5,2,4,1,3,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8144,f4:28:53:72:03:56,-45,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84022049,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,3,6,2,8,0,10,-1,12,-1,13,-2,14,-3,15,-3,15,-2,14,-2,12,-2,10,-2,8,-2,6,-2,3,-3,0,-3,-2,-3,-5,-4,-7,-4,-9,-5,-11,-6,-12,-7,-12,-8,-12,-8,-12,-8,0,0,-9,-8,-7,-6,-6,-5,-4,-3,-2,-2,-1,1,1,3,2,6,2,8,1,10,0,11,0,12,-1,12,-2,11,-3,10,-3,9,-4,7,-4,5,-3,3,-2,1,-1,-1,0,-2,2,-3,3,-4,5,-4,6,-3,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8145,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84031137,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-16,-5,-16,-5,-15,-5,-14,-5,-12,-5,-10,-5,-7,-5,-5,-4,-2,-4,1,-4,4,-5,7,-5,9,-5,10,-5,12,-5,12,-5,13,-5,13,-5,12,-4,11,-3,9,-3,7,-2,5,-1,3,1,0,2,-2,0,0,6,-6,7,-7,9,-8,10,-8,11,-8,11,-7,11,-7,11,-6,9,-4,7,-3,6,-2,3,-1,0,-1,-2,0,-5,-1,-7,-1,-8,-2,-9,-3,-10,-4,-10,-5,-9,-6,-8,-6,-6,-6,-5,-6,-3,-5,-2,-4,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8146,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84043378,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,10,10,8,9,7,8,5,7,4,5,1,3,-1,2,-3,0,-6,-1,-8,-3,-10,-4,-11,-4,-13,-5,-14,-5,-14,-5,-14,-5,-13,-5,-12,-4,-10,-3,-8,-3,-6,-2,-3,-1,0,-1,3,0,0,-1,8,-1,9,-2,11,-3,12,-3,13,-4,12,-5,12,-5,11,-5,9,-5,7,-4,5,-3,2,-1,0,0,-2,2,-3,4,-5,5,-5,7,-5,8,-5,8,-5,9,-4,8,-3,8,-1,6,-1,5,0,3,1,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8147,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84051138,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,-17,-1,-17,-1,-15,-2,-14,-2,-11,-2,-9,-3,-6,-4,-3,-4,0,-5,3,-6,5,-6,8,-7,10,-7,11,-8,12,-8,12,-8,12,-7,11,-6,10,-5,9,-4,7,-3,5,-2,3,1,0,2,-2,0,0,6,-5,8,-6,10,-7,11,-7,12,-7,12,-6,12,-6,11,-5,10,-3,8,-2,5,-1,3,-1,0,0,-2,0,-4,-1,-7,-1,-8,-2,-9,-3,-9,-4,-10,-5,-9,-6,-8,-6,-7,-6,-5,-6,-3,-5,-2,-4,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8148,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84061218,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,-13,11,-13,10,-13,9,-12,8,-11,6,-10,4,-8,1,-7,-1,-4,-4,-3,-6,-1,-9,0,-11,1,-12,2,-13,3,-14,3,-15,3,-15,4,-14,3,-12,3,-11,3,-9,2,-6,1,-3,1,0,1,2,1,0,0,8,1,10,2,11,2,13,4,13,4,12,5,12,5,11,6,9,5,7,5,4,4,2,2,0,0,-2,-2,-3,-4,-4,-6,-4,-7,-4,-9,-4,-10,-3,-10,-2,-10,-1,-10,0,-9,1,-7,1,-6,1,-4,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8149,f4:28:53:72:03:56,-45,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84071234,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,-3,-7,1,-7,5,-7,8,-8,11,-8,14,-8,16,-8,17,-8,18,-8,17,-8,17,-7,15,-6,12,-4,10,-2,7,-1,5,1,2,3,-1,6,-3,8,-6,10,-8,11,-9,14,-10,14,-10,14,-9,15,-9,0,0,13,-7,10,-5,8,-3,5,-2,2,-2,-2,-1,-5,-1,-9,-1,-11,-3,-14,-4,-14,-5,-15,-6,-14,-7,-13,-8,-12,-9,-10,-9,-7,-8,-5,-7,-3,-5,-1,-3,0,-1,1,2,2,4,2,6,1,7,0,8,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8150,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84081218,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,-13,10,-14,9,-13,8,-13,6,-11,5,-10,3,-8,1,-7,-2,-4,-4,-3,-6,0,-9,1,-11,2,-12,4,-13,4,-13,4,-15,5,-14,5,-13,5,-12,4,-10,4,-8,3,-5,2,-3,2,0,1,3,1,0,0,8,0,10,1,12,1,13,2,14,2,13,3,12,4,11,4,9,4,7,4,5,3,2,1,0,0,-2,-1,-3,-3,-5,-6,-5,-7,-5,-9,-5,-10,-4,-10,-3,-10,-2,-10,-1,-9,0,-8,1,-6,1,-4,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8151,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84091138,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-16,-3,-16,-3,-15,-4,-14,-4,-12,-4,-10,-4,-8,-4,-5,-4,-2,-4,0,-5,3,-5,6,-5,8,-6,10,-6,11,-6,12,-6,12,-6,12,-6,12,-5,10,-4,9,-3,7,-2,5,-1,2,1,0,2,-2,0,0,6,-6,7,-7,9,-8,10,-8,11,-8,11,-7,11,-6,11,-5,9,-4,7,-3,5,-2,3,-1,0,-1,-2,0,-4,-1,-7,-1,-8,-2,-9,-3,-9,-4,-9,-5,-8,-6,-7,-6,-6,-6,-5,-6,-3,-5,-2,-4,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8152,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84101275,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,14,-9,14,-8,13,-7,13,-6,11,-5,10,-3,8,-1,6,1,3,3,1,5,-1,8,-3,9,-4,10,-6,11,-6,12,-7,13,-7,13,-8,12,-7,10,-7,9,-6,7,-5,4,-4,2,-2,-1,-2,-4,-1,0,0,-9,0,-11,0,-13,-1,-14,-2,-15,-2,-14,-3,-14,-3,-13,-4,-11,-4,-9,-4,-6,-3,-4,-2,-1,-1,1,0,3,2,4,4,5,5,5,7,5,8,4,9,3,9,2,8,1,8,0,7,-1,5,-1,3,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8153,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84111182,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-14,-11,-13,-11,-13,-11,-12,-9,-11,-8,-10,-6,-8,-4,-7,-2,-4,0,-3,3,-1,5,1,8,2,9,3,11,4,12,4,13,4,13,5,13,4,13,4,11,3,10,2,8,2,5,1,2,1,-1,1,-4,0,0,1,-9,1,-11,1,-12,2,-14,3,-14,4,-14,4,-13,4,-12,4,-10,4,-8,3,-6,2,-3,0,-1,-1,1,-4,2,-5,4,-7,4,-8,4,-9,4,-10,3,-10,2,-10,1,-9,0,-8,-1,-6,-2,-4,-2,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8154,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84123810,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,15,6,15,5,14,5,12,5,11,5,9,4,6,4,3,3,0,3,-2,3,-6,3,-8,3,-10,2,-12,2,-13,3,-14,2,-15,2,-15,2,-14,2,-12,1,-11,1,-9,0,-6,-1,-4,-2,-1,-3,2,0,0,-6,6,-7,7,-9,9,-10,9,-11,9,-11,8,-11,7,-11,6,-10,5,-8,3,-6,2,-4,1,-1,0,1,-1,4,-1,6,-1,7,-1,9,0,9,1,9,2,9,3,8,4,7,4,5,4,3,4,1,3,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8155,f4:28:53:72:03:56,-44,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84131202,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,14,-9,14,-8,13,-7,13,-6,11,-4,10,-3,8,-1,6,1,3,3,1,6,-1,7,-3,9,-5,10,-6,12,-7,12,-7,13,-8,12,-7,12,-7,10,-7,9,-6,7,-5,4,-4,2,-3,-1,-2,-4,-1,0,0,-9,-1,-11,0,-13,-1,-14,-2,-15,-2,-14,-3,-14,-3,-13,-4,-11,-4,-9,-4,-6,-3,-4,-2,-1,-1,1,1,3,2,4,4,5,5,5,7,5,8,4,9,3,9,2,9,1,8,0,7,-1,5,-2,3,0,0,0,0,0,0,0,0,0,0]"""
static,RX1_동,"CSI_DATA,8156,f4:28:53:72:03:56,-45,11,1,7,1,0,1,0,1,0,1,-97,0,13,2,84147221,0,83,0,128,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-18,-1,-18,-2,-17,-2,-16,-3,-14,-3,-11,-3,-9,-4,-5,-4,-2,-4,0,-4,3,-5,6,-5,9,-5,11,-6,13,-6,14,-6,14,-6,15,-6,14,-5,12,-4,10,-3,8,-1,5,0,2,0,0,2,-2,0,0,6,-6,8,-8,9,-9,11,-9,12,-9,12,-8,13,-7,12,-6,10,-4,8,-3,5,-2,3,0,0,0,-1,0,-4,0,-7,0,-9,0,-10,-1,-11,-2,-11,-4,-10,-5,-9,-5,-8,-5,-6,-5,-3,-5,-2,-4,0,0,0,0,0,0,0,0,0,0]"""
