감지 시각,안전 확인 시각,경과(초),최고 경보 단계,낙상 확률(%)
2026-05-27 17:02:48,17:03:01,13,caution,100.0
2026-05-27 17:03:01,17:03:02,1,caution,100.0
2026-05-27 17:03:03,17:03:05,2,caution,100.0
2026-05-27 17:03:06,17:03:07,0,caution,100.0
2026-05-27 17:03:07,17:03:07,0,caution,100.0
2026-05-27 17:03:09,17:03:10,1,caution,100.0
2026-05-27 17:03:11,17:03:23,11,caution,100.0
2026-05-27 17:03:24,17:03:25,1,caution,100.0
2026-05-27 17:03:26,17:03:26,0,caution,100.0
2026-05-27 17:03:27,17:03:27,0,caution,100.0
2026-05-27 17:03:29,17:03:29,0,caution,100.0
2026-05-27 17:04:05,17:04:11,5,caution,98.0
2026-05-27 17:04:11,17:04:12,1,caution,100.0
2026-05-27 17:04:13,17:04:14,1,caution,100.0
2026-05-27 17:04:15,17:04:16,0,caution,100.0
2026-05-27 17:04:17,17:04:18,0,caution,100.0
2026-05-27 17:04:19,17:04:24,5,caution,100.0
2026-05-27 17:04:25,17:04:27,1,caution,100.0
2026-05-27 17:04:27,17:04:28,1,caution,100.0
2026-05-27 17:04:29,17:04:31,1,caution,100.0
2026-05-27 17:04:32,17:04:39,7,caution,100.0
2026-05-27 17:04:40,17:04:40,0,caution,100.0
2026-05-27 17:04:42,17:04:43,1,caution,100.0
2026-05-27 17:04:44,17:04:45,0,caution,100.0
2026-05-27 17:05:15,17:05:27,12,caution,100.0
2026-05-27 17:05:28,17:05:29,0,caution,100.0
2026-05-27 17:05:30,17:05:30,0,caution,100.0
2026-05-27 17:05:33,17:05:35,1,caution,100.0
2026-05-27 17:07:56,17:07:59,2,caution,100.0
2026-05-27 17:07:59,17:08:00,0,caution,100.0
2026-05-27 17:08:01,17:08:01,0,caution,100.0
2026-05-27 17:08:02,17:08:02,0,caution,100.0
2026-05-27 17:08:03,17:08:04,1,caution,98.0
2026-05-27 17:08:05,17:08:06,1,caution,100.0
2026-05-27 17:08:07,17:08:09,2,caution,100.0
2026-05-27 17:08:10,17:08:12,2,caution,100.0
2026-05-27 17:08:12,17:08:14,1,caution,100.0
2026-05-27 17:08:14,17:08:17,2,caution,100.0
2026-05-27 17:08:17,17:08:19,1,caution,100.0
2026-05-27 17:08:19,17:08:20,0,caution,100.0
2026-05-27 17:08:20,17:08:20,0,caution,100.0
2026-05-27 17:08:21,17:08:21,0,caution,100.0
2026-05-27 17:08:22,17:08:23,0,caution,100.0
2026-05-27 17:08:23,17:08:23,0,caution,100.0
2026-05-27 17:08:24,17:08:27,3,caution,100.0
2026-05-27 17:08:28,17:08:29,0,caution,100.0
2026-05-27 17:08:29,17:08:30,0,caution,100.0
2026-05-27 17:08:30,17:08:30,0,caution,100.0
2026-05-27 17:08:31,17:08:34,3,caution,100.0
